bopt,bname,Bautor,Bmemo,,,,,,,
193,HOMO SACER. ЧТО ОСТАЕТСЯ ПОСЛЕ ОСВЕНЦИМА: АРХИВ И СВИДЕТЕЛЬ,Джорджо Агамбен,,,,,,,,
174.9,HR-БРЕНДИНГ. КАК ПОВЫСИТЬ ЭФФЕКТИВНОСТЬ ПЕРСОНАЛА.,Мансуров Р.Е.,,,,,,,,
88.6,INTER ТЕРРОР В РОССИИ Улики,Игнатенко А.,В книге дается анализ организационных и идейных корней ваххабизма - источника исламистского терроризма,,,,,,,
1487.3,INTERNATIONAL INVESTORS NEW INVESTMENT ENCYCLOPEDIA,-,В справочнике представлены международные инвестиционные компании.,,,,,,,
282.35,"IV РЕСПУБЛИКА; ОТ НЕДОГОСУДАРСТВА ЕЛЬЦИНА - К ГОСУДАРСТВУ ПУТИНА. ""РЫХЛЕНИЕ"" СОВЕТСКОЙ ИМПЕРИИ - СССР",Хасбулатов Р.И.,,,,,,,,
282.35,"IV РЕСПУБЛИКА; ОТ НЕДОГОСУДАРСТВА ЕЛЬЦИНА - К ГОСУДАРСТВУ ПУТИНА. ОПЕРАЦИЯ ""ГРОМ"". ПРЕЛЮДИЯ К ПАДЕНИЮ - СССР",Хасбулатов Р.И.,,,,,,,,
327.3,"MOJO: КАК ЕГО ПОЛУЧИТЬ, КАК ЕГО СОХРАНИТЬ И КАК ВЕРНУТЬ, ЕСЛИ ВЫ ЕГО ПОТЕРЯЛИ",Голдсмит М.,,,,,,,,
132,MP3 - АУДИОКНИГА: КОММЕРЧЕСКИЙ ДИРЕКТОР . ФИЛОСОФИЯ ВЫЖИВАНИЯ В ОФИСНЫХ ДЖУНГЛЯХ.,Сергей Шпитонков,,,,,,,,
241.6,PHP В ПРИМЕРАХ,Стивен Хольцнер,,,,,,,,
1344.05,QT. ПРОФЕССИОНАЛЬНОЕ ПРОГРАММИРОВАНИЕ. РАЗРАБОТКА КРОССПЛАТФОРМЕННЫХ ПРИЛОЖЕНИЙ НА С++,Саммерфилд М.,,,,,,,,
265.6,RESTAURANTSERVICE. РЕСТОРАННЫЙ СЕРВИС. УЧЕБНОЕ ПОСОБИЕ НА НЕМЕЦКОМ ЯЗЫКЕ. РАО,Алексеева Н.П. Составитель,,,,,,,,
85.3,SKYPE. БЕСПЛАТНЫЕ ТЕЛЕФОННЫЕ ЗВОНКИ И ВИДЕОСВЯЗЬ ЧЕРЕЗ ИНТЕРНЕТ,Трошин М.,,,,,,,,
115.8,TEXTS 1997-2010 ( на английском языке),Vladislav Surkov,,,,,,,,
312.6,THE NEW PALGRAVE ФИНАНСЫ 2-Е ИЗД. ПЕР. С АНГЛ,"Под ред. Дж. Итуэлла, М. Милгейта, и др",,,,,,,,
203.3,WINDOWS VISTA ДЛЯ НЕПРОГРАММИСТА + ВИДЕОКУРС (+CD),Ясько Е.А.,,,,,,,,
74.4,WORD — ЭТО ОЧЕНЬ ПРОСТО! 3-Е ИЗД.,Левин А.Ш.,,,,,,,,
77,А БЫЛ ЛИ МАЛЬЧИК? СКЕПТИЧЕСКИЙ АНАЛИЗ ТРАДИЦИОННОЙ ИСТОРИИ,Лев Шильник,,,,,,,,
150,А ВЫ ГОТОВЫ К ПРИХОДУ ТРУДОВОГО ИНСПЕКТОРА?,Карсетская Е.,,,,,,,,
310.6,А ДЕДУШКА В КОСТЮМЕ?,Амели Ф.,978-5-904561-22-2,,,,,,,
130,А ТЕПЕРЬ- НОВОСТИ КУЛЬТУРЫ,Петров-Кронштадт О,Сборник юмористических миниатюр,,,,,,,
