bopt,bname,Bautor,Bmemo,,,,,,,
239,"ЭКОНОМЕТРИКА 2-е изд., пер. и доп. Учебник для бакалавров","Тимофеев В.С., Фаддеенков А.В., Щеколдин В.Ю.","Рассмотрены классические разделы эконометрики: основные понятия эконометрического анализа, корреляционный анализ, модели парной и множественной регрессии, методы анализа систем эконометрических уравнений, вопросы эконометрического анализа с использованием моделей временных рядов. В качестве дополнительных разделов рассмотрены вопросы построения моделей с качественными признаками, анализ панельных данных, факторный анализ, основы теории планирования оптимальных экспериментов, методы устойчивого оценивания параметров регрессионных уравнений.",,,,,,,
309,ЭКОНОМЕТРИКА. Учебник для магистров,Елисеева И.И.,"Учебник охватывает все основные разделы современного курса эконометрики, отвечающего требованиям подготовки магистров по экономическим направлениям. Рассматриваются этапы возникновения и развития эконометрики, методы построения и оценки качества парной и множественной регрессий. Особое внимание уделяется мультиколлинеарности и гетероскедастичности случайных остатков, а также прогнозированию на основе модели множественной регрессии. Книга предназначена для магистрантов высших учебных заведений и факультетов экономических направлений.",,,,,,,
225,ЭКОНОМЕТРИКА. УЧЕБНИК. ГРИФ МО,-,Для студентов экономико-математических и аналитических факультетов экономических и технических вузов,,,,,,,
337,ЭКОНОМЕТРИКА. УЧЕБНИК. ГРИФ МО,"Тихомиров, Дорохина",,,,,,,,
99,"ЭКОНОМИКА 3-е изд., пер. и доп. Конспект лекций",Салов А.И.,"Специфика периода подготовки к экзамену или зачету заключается в том, что студент уже ничего не изучает (для этого просто нет времени): он лишь вспоминает и систематизирует изученное. Предлагаемое пособие поможет студентам в решении именно этой задачи применительно к курсу «Экономика». Содержание и структура пособия соответствуют требованиям Федерального государственного образовательного стандарта высшего профес сионального образования третьего поколения.",,,,,,,
359,"ЭКОНОМИКА 3-е изд., пер. и доп. Учебное пособие для бакалавров",Шимко П.Д.,"В учебнике представлен расширенный курс экономической теории: впервые в отечественной учебной литературе курсы микро-, макро- и международной экономики ориентированы на менеджеров, принимаю щих конкретные решения на всех уровнях управления экономическими системами. Строго формализованное и лаконичное, но вместе с тем наглядное и доступное изложение материала, рассматривающего российскую экономическую систему, обусловливает заинтересованное изучение теории и практики экономики бизнеса.",,,,,,,
448.6,ЭКОНОМИКА И ОБЩЕСТВЕННАЯ СРЕДА: НЕОСОЗНАННОЕ ВЗАИМОВЛИЯНИЕ.НАУЧНЫЕ ЗАПИСКИ И ОЧЕРКИ,Богомолов О.Т.,,,,,,,,
282.4,ЭКОНОМИКА И ФИНАНСЫ ПРЕДПРИЯТИЯ : УЧЕБНИК,В.И Корпунин и др.,,,,,,,,
177.7,ЭКОНОМИКА И ФИНАНСЫ ПРЕДПРИЯТИЯ: УЧЕБНИК,Воронов В.В.,,,,,,,,
564.7,"ЭКОНОМИКА ИДЕНТИЧНОСТИ. Как наши идеалы и социальные нормы определяют, кем мы работаем, сколько зарабатываем и насколько несчастны","Акерлоф Джордж А., Крэнтон Рэйчел Е.",,,,,,,,
469,ЭКОНОМИКА НЕДВИЖИМОСТИ 6-е изд. Учебник для вузов,Горемыкин В.А.,"Настоящее издание учебника (1-е изд. — 2000 г.) содержит базовые основы функционирования рынка недвижимости, методические и организационно-правовые технологии совершения различных сделок с земельными участками, жилыми и нежилыми помещениями, участками лесного фонда и другими объектами. Для студентов, аспирантов, научных работников и преподавателей экономических и юридических факультетов вузов, риелторов, руководителей предприятий всех форм собственности, а также широкого круга читателей, интересующихся проблемами недвижимости.",,,,,,,
539,"ЭКОНОМИКА НЕДВИЖИМОСТИ 7-е изд., пер. и доп. Учебник для бакалавров",Горемыкин В.А.,"Настоящее издание учебника (1-е изд. — 2000 г.) содержит базовые основы функционирования рынка недвижимости, методические и организационно-правовые технологии совершения различных сделок с земельными участками, жилыми и нежилыми помещениями, участками лесного фонда и другими объектами. Для студентов, аспирантов, научных работников и преподавателей экономических и юридических факультетов вузов, риелторов, руководителей предприятий всех форм собственности, а также широкого круга читателей, интересующихся проблемами недвижимости.",,,,,,,
259,"ЭКОНОМИКА ОРГАНИЗАЦИИ (ПРЕДПРИЯТИЯ) 2-е изд., пер. и доп. Учебник для бакалавров",Коршунов В.В.,"В учебнике изложены все стороны деятельности предприятия с момента выбора организационно-правовой формы, организации производства и управления, реализации продукции и формирования прибыли до анализа результатов деятельности и выбора направлений дальнейшего развития. После изложения теоретического материала в пособии приведена практическая часть: задачи с решениями, задания для самостоятельной проработки.",,,,,,,
399,"ЭКОНОМИКА ОРГАНИЗАЦИИ (ПРЕДПРИЯТИЯ) 5-е изд., испр. и доп. Учебное пособие для бакалавров","Веретенникова И.И., Сергеев И.В.","Главной задачей данного курса является ознакомление студентов с основами рыночной экономики организации, с методами рационального использования ресурсов и управления предприятия с целью получения максимальной прибыли и возрастания его стоимости. При написании учебника авторы стремились многие вопросы, касающиеся экономики организации, изложить доступным языком и с использованием различных схем, раскрывающих более детально те или иные экономические явления.",,,,,,,
239,ЭКОНОМИКА ОРГАНИЗАЦИИ (ПРЕДПРИЯТИЯ). Учебник для бакалавров,Коршунов В.В.,"Рассмотрены вопросы экономики, планирования, организации процессов производства и управления на предприятии. Содержит теоретический материал, практикум. Раскрыта сущность предприятия как основного звена экономики, приведены классификация предприятий, условия конкурентоспособности. Представлены ресурсы предприятия и показатели их использования, экономические показатели деятельности предприятия (издержки, цены, налоги, финансовые результаты), вопросы управления экономической эффективностью деятельности предприятия.",,,,,,,
254.1,ЭКОНОМИКА ОРГАНИЗАЦИИ (ПРЕДПРИЯТИЯ). УЧЕБНОЕ ПОСОБИЕ,МУХИНА И.А.,,,,,,,,
314,ЭКОНОМИКА ОРГАНИЗАЦИИ: УЧЕБНИК,Зайцев Н.Л.,ЭКОНОМИКА ОРГАНИЗАЦИИ: учебник,,,,,,,
268.1,ЭКОНОМИКА ОРГАНИЗАЦИЙ(ПРЕДПРИЯТИЙ):УЧЕБ.ПОСОБИЕ,Акмаева Р.И.,В пособии излагаются основы функционирования организации (предприятия) как основного хозяйствующего субъекта рыночной экономики. Рассмотрены принципы учреждения предприятий различных форм собственности,,,,,,,
279.9,"ЭКОНОМИКА ОТ ""А"" ДО ""Я"": ТЕМАТИЧЕСКИЙ СПРАВОЧНИК",Гукасьян Г.М.,,,,,,,,
589,ЭКОНОМИКА ОТРАСЛЕВЫХ РЫНКОВ. Учебное пособие для бакалавров,Розанова Н.М.,"В учебном пособии всесторонне рассматриваются основные модели формирования и функционирования различного рода рыночных структур, излагаются базовые принципы поведения фирм на разных рынках, описываются последствия такого поведения для развития экономики в целом, варианты отраслевой политики государства. Для студентов экономических вузов, а также представляет собой базовый материал для подготовки специалистов экономического профиля по курсу «Экономика отраслевых рынков».",,,,,,,
589,ЭКОНОМИКА ОТРАСЛЕВЫХ РЫНКОВ. Учебное пособие для бакалавров,Розанова Н.М.,"В учебном пособии рассматриваются общетеоретические вопросы, составляющие фундаментальную основу экономики отраслевых рынков и политики поддержки конкуренции, анализируются проблемы определения релевантного рынка, дается классификация типов рыночных структур, приводятся базовые модели монополии и конкуренции, барьеров входа на рынок, а также детально исследуются история и современные тенденции развития конкурентной политики.",,,,,,,
461.1,ЭКОНОМИКА ПРЕДПРИЯТИЙ И ОТРАСЛЕЙ АПК. ПРАКТИКУМ. (НА ПРИМЕРЕ БЕЛАРУСИ),"Зеленовский А.А., Королев А.В., Синельников В.М.",,,,,,,,
320.1,ЭКОНОМИКА ПРЕДПРИЯТИЯ,Крум Э.В.,,,,,,,,
249,"ЭКОНОМИКА ПРЕДПРИЯТИЯ 3-е изд., пер. и доп. Учебник для бакалавров",Чалдаева Л.А.,"Издание содержит системно изложенный материал, дающий целостное представление о деятельности предприятия как хозяйствующего субъекта. Учебник создан на основе опыта, приобретенного автором в ходе практической работы на промышленном предприятии, а также многолетнего преподавания данной дисциплины в высших учебных заведениях. Учебный материал оснащен схемами и рисунками и согла- сован с иными дисциплинами, закладывающими основы профессиональной подготовки бакалавра экономического профиля.",,,,,,,
99,ЭКОНОМИКА ПРЕДПРИЯТИЯ. Конспект лекций,"Васильева Н.А., Матеуш Т.А., Миронов М.Г.","Непосредственной сдаче экзамена или зачета по любой учебной дисциплине всегда предшествует достаточно краткий период, когда студент должен сосредоточиться, систематизировать свои знания. Предлагаемое пособие поможет студентам в решении именно этой задачи применительно к курсу «Экономика предприятия». Содержание и структура пособия соответствуют требованиям Федерального государственного образовательного стандарта высшего профессионального образования третьего поколения. Издание предназначено студентам высших учебных заведений.",,,,,,,
85,ЭКОНОМИКА ПРЕДПРИЯТИЯ. Конспект лекций,"Васильева Н. А., Матеуш Т. А., Миронов М. Г.","Непосредственной сдаче экзамена или зачета по любой учебной дисциплине всегда предшествует достаточно краткий период, когда студент должен сосредоточиться, систематизировать свои знания. Содержание и структура пособия соответствуют требованиям Государственного образовательного стандарта высшего профессионального образования. Издание предназначено студентам высших учебных заведений.",,,,,,,
209,ЭКОНОМИКА ПРЕДПРИЯТИЯ. Учебник для вузов,Чалдаева Л. А.,"Учебник содержит системно изложенный учебный материал, дающий целостное представление о деятельности предприятия (организации) как хозяйствующего субъекта, начиная с момента его образования и выбора организационно-правовой формы и заканчивая получением финансовых результатов и оценки эффективности производственно-хозяйственной деятельности. Для студентов экономических специальностей вузов, аспирантов, руководителей и специалистов предприятий различного профиля, сотрудников финансово-кредитных учреждений.",,,,,,,
184.5,ЭКОНОМИКА ПРЕДПРИЯТИЯ: ЗАДАЧИ И РЕШЕНИЯ: УЧЕБНО-ПРАКТИЧЕСКОЕ ПОСОБИЕ,Просветов Г.И.,"В учебно-практическом пособии раскрываются экономические основы функционирования предприятия в условиях современных рыночных отношений. Для студентов, обучающихся по экономическим специальностям.",,,,,,,
282.8,"ЭКОНОМИКА ПРЕДПРИЯТИЯ:УЧЕБНИК ДЛЯ ВУЗОВ.2-Е ИЗД.,ПЕРЕРАБ И ДОП.",Карлик А.Е.,гриф УМО,,,,,,,
85,ЭКОНОМИКА ПРИРОДОПОЛЬЗОВАНИЯ 2-е изд. Конспект лекций,Макар С.В.,"Экономика природопользования — молодая наука и учебная дисциплина. В учебном пособии систематизированы ее теоретические аспекты, а также представлено содержание действующего административно-экономического механизма природопользования в России. Раскрыты актуальные вопросы международного сотрудничества в области природопользования и охраны окружающей среды.",,,,,,,
359,"ЭКОНОМИКА ПРИРОДОПОЛЬЗОВАНИЯ 2-е изд., пер. и доп. Учебник для бакалавров","Глушкова В.Г., Макар С.В.","Изложены теоретические основы экономики природопользования, рассмотрены аспекты эколого-экономического развития России: дана оценка ее природно-ресурсного потенциала, представлен механизм управления природопользованием, а также описаны отраслевые и региональные проблемы в связи с особенностями территориальной организации хозяйства и населения. Проведено обобщение мирового и отечественного опыта в области экономической оценки природных ресурсов.",,,,,,,
99,ЭКОНОМИКА ПРИРОДОПОЛЬЗОВАНИЯ. Конспект лекций,"Дрогомирецкий И.И., Кантор Е.Л., Маховикова Г.А.","В издании, подготовленном в соответствии с государственным образовательным стандартом, изложены основы экономических отношений по поводу природопользования как естественной основы устойчивого развития общества, основные понятия и категории природопользования и экологии, теоретические и методические вопросы экономики освоения и эксплуатации природных ресурсов.",,,,,,,
319,ЭКОНОМИКА ПРИРОДОПОЛЬЗОВАНИЯ. Учебник для бакалавров,Каракеян В.И.,"Особое внимание уделено анализу современных методов экологизации на микроэкономическом уровне, нацеленных на снижение природоемкости таких производств, как оценка жизненного цикла продукции, экологический менеджмент, экологическая сертификация и экологическая маркировка, открытая экологическая отчетность и зеленый маркетинг. Для студентов экономических вузов, а также специалистов, работающих в природоохранных областях.",,,,,,,
299,ЭКОНОМИКА ПРИРОДОПОЛЬЗОВАНИЯ. Учебник для вузов,Каракеян В. И.,"Особое внимание уделено анализу современных методов экологизации на микроэкономическом уровне, нацеленных на снижение природоемкости таких производств, как оценка жизненного цикла продукции, экологический менеджмент, экологическая сертификация и экологическая маркировка, открытая экологическая отчетность и зеленый маркетинг. Для студентов экономических вузов, а также специалистов, работающих в природоохранных областях.",,,,,,,
309,ЭКОНОМИКА ПРИРОДОПОЛЬЗОВАНИЯ. Учебник для вузов,"Глушкова В. Г., Макар С. В.","Главная идея — системный подход к эколого-экономическому взаимодействию, исследование проблем использования природных ресурсов и охраны окружающей среды с микро и макроэкономических точек зрения. Для студентов, аспирантов, слушате лей, научных сотрудников и преподавателей высших учебных заведений.",,,,,,,
292.8,ЭКОНОМИКА ПРОМЫШЛЕННОГО ПРОИЗВОДСТВА. ПРАКТИКУМ,"Гайнутдинов Э.М., Поддерегина М.И., Зубрицкий А.Ф.",,,,,,,,
376.5,"ЭКОНОМИКА СОВРЕМЕННОЙ АЗИИ: УЧЕБНИК. 2-Е ИЗД., ПЕРЕРАБ. И ДОП.","Потапов М.А., Салицкий А.И., Шахматов А.В.",,,,,,,,
299.9,ЭКОНОМИКА СТРАН БЛИЖНЕГО ЗАРУБЕЖЬЯ: УЧЕБНОЕ ПОСОБИЕ,Булатов А.С.,,,,,,,,
86.9,ЭКОНОМИКА СТРОИТЕЛЬСТВА Учебно-практическье пособие,И.Б. Ефименко,Рассматриваются вопросы совершенствования управления строительством в рамках системы управления проектом.,,,,,,,
269,"ЭКОНОМИКА ТРУДА 2-е изд., пер. и доп. Учебник для бакалавров","Одегов Ю.Г., Руденко Г.Г.","Учебник содержит структурированное изложение базовых тем курса экономики труда. Проанализированы проблемы труда, исследуемые в единстве структурных элементов, тенденции их развития и взаимообусловленность с другими макроэкономическими процессами. Особое внимание уделяется исследованию переходной экономической динамики на рынке труда, а также государственному регулированию процессов формирования рынка труда в переходный период.",,,,,,,
429,ЭКОНОМИКА ТРУДА. Учебник для бакалавров,"Алиев И.М., Горелов Н.А., Ильина Л.О.","В учебнике исследованы экономические закономерности функционирования человеческих ресурсов на макро- и микроуровне, а также экономические отношения, возникающие на рынке труда и предприятиях по поводу привлечения и использования ресурсов труда, формирования различных форм занятости. В качестве основной проблемы экономики труда рассматривается система ее эффективности, ведущая роль в которой принадлежит производительности труда.",,,,,,,
409,ЭКОНОМИКА ТРУДА. Учебник для бакалавров,"Алиев И., Горелов Н.А., Ильина Л.О.","Исследованы экономические закономерности функционирования человеческих ресурсов на макро- и микроуровне, а также экономические отношения, возникающие на рынке труда и предприятиях по поводу привлечения и использования ресурсов труда, формирования различных форм занятости. Описан порядок организации оплаты труда и установления оптимальных размеров заработной платы, приведены требования к формированию фонда оплаты труда и обеспечению его эффективного использования.",,,,,,,
449,"ЭКОНОМИКА ФИРМЫ 2-е изд., пер. и доп. Учебник для бакалавров",Горфинкель В.Я. - Отв. ред.,"Фирма представлена как основной субъект предпринимательства, в связи с чем описаны виды предпринимательской деятельности. Рассмотрены конкурентоспособность фирмы и ее позитивный имидж как фактор конкурентоспособности. Изложено ресурсное обеспечение фирмы, включая маркетинговый характер ее развития. Представлена инновационная и инвестиционная деятельность фирмы. Раскрыты финансовые ресурсы фирмы, включая их экономический анализ и бухгалтерский учет, управление финансами фирмы. Для студентов бакалавриата и магистратуры.",,,,,,,
209,ЭКОНОМИКА ФИРМЫ. Учебник и практикум,"Азоева О.В., Мокий М.С.","Изложены сущностные вопросы возникновения и деятельности фирмы и эффективного управления ею. Основной упор сделан на понимание тех аспектов, которые являются общими для любых фирм, неза- висимо от форм собственности и отраслевой принадлежности. Прилагаемый практикум позволяет студентам закрепить теоретические знания. Для студентов уровня бакалавра по направлениям «Экономика» и «Менеджмент» всех форм обучения.",,,,,,,
100,"ЭКОНОМИКА ФИРМЫ: ОРГАНИЗАЦИЯ ПОСЛЕПРОДАЖНОГО ОБСЛУЖИВАНИЯ ПРОДУКЦИИ: УЧЕБНОЕ ПОСОБИЕ - (""ВЫСШЕЕ ОБРАЗОВАНИЕ"") (ГРИФ)","Поздняков В.Я., Моргунова Е.П., Табачун А.С.",,,,,,,,
339.9,"ЭКОНОМИКА ФИРМЫ: УЧЕБ. ПОСОБИЕ - (""БАКАЛАВРИАТ"") (ГРИФ)",Ряховская А.Н.,,,,,,,,
202,ЭКОНОМИКА. УЧЕБНИК,Янова В.В.,,,,,,,,
349,ЭКОНОМИКА. Учебник и практикум,Борисов Е.Ф.,"В учебнике излагаются научные представления о современной реальной экономике. Главным отличием этой экономики являются грандиозные перемены во всей системе экономических отношений внутри отдельных стран и в мировом масштабе. Эти изменения обусловлены стремительным развитием научно-технической революции, вызвавшим инновационные перемены в фундаментальной науке, производственной деятельности и образовании. Одновременно с данными процессами идет ускорение глобализации экономики. Это обновление экономической жизни нашло адекватное отражение в учебнике.",,,,,,,
329,ЭКОНОМИКА. Учебник и практикум,Борисов Е.Ф.,"В учебнике излагаются научные представления о современной реальной экономике. Главным отличием этой экономики являются грандиозные перемены во всей системе экономических отношений внутри отдельных стран и в мировом масштабе. Эти изменения обусловлены стремительным развитием научно-технической революции, вызвавшим инновационные перемены в фундаментальной науке, производственной деятельности и образовании.",,,,,,,
350,ЭКОНОМИКА: УЧЕБНИК,"Бардовский В.П., Рудакова О.В., Самородова Е.М.","Для студентов, преподавателей",,,,,,,
239.9,ЭКОНОМИКА: УЧЕБНОЕ ПОСОБИЕ,Колбачев Е.Б.,,,,,,,,
329,"ЭКОНОМИКО-МАТЕМАТИЧЕСКИЕ МЕТОДЫ И МОДЕЛИ 2-е изд., испр. и доп. Учебник для бакалавров","Попов А.М., Сотников В.Н.","Данный учебник является частью обучающего комплекса, в который также входят книги А. М. Попова и В. Н. Сотникова «Высшая математика для экономистов» и «Теория вероятностей и математическая статистика». В нем изложены основные разделы математических методов и моделей в экономике в соответствии с дидактическими блоками Госстандарта. Для студентов и аспирантов экономических направлений и специальностей.",,,,,,,
329,"ЭКОНОМИКО-МАТЕМАТИЧЕСКИЕ МЕТОДЫ И МОДЕЛИ 2-е изд., испр. и доп. Учебник для бакалавров","Попов А.М., Сотников В.Н.","Данный учебник является частью обучающего комплекса, в который также входят книги А. М. Попова и В. Н. Сотникова «Высшая математика для экономистов» и «Теория вероятностей и математическая статистика». В нем изложены основные разделы математических методов и моделей в экономике в соответствии с дидактическими блоками Госстандарта. Для студентов и аспирантов экономических направлений и специальностей.",,,,,,,
249,"ЭКОНОМИКО-МАТЕМАТИЧЕСКИЕ МЕТОДЫ И ПРИКЛАДНЫЕ МОДЕЛИ 3-е изд., пер. и доп. Учебник для бакалавров","Гармаш А.Н., Орлова И.В., Федосеев В.В.","В учебнике изложена система экономико-математических и математико-статистических методов и моделей для решения широкого класса теоретических и прикладных задач анализа и прогнозирования социально-экономических процессов. После изучения данного курса студенты будут владеть методами постановки экономических задач, включая задачи макроэкономики; методами решения оптимизационных задач, а также задач математико-статистического анализа экономических процессов; математическим аппаратом исследования широкого класса типовых и прикладных задач экономического анализа и принятия решений.",,,,,,,
258.8,ЭКОНОМИСТ. ИЗБРАННОЕ,-,,,,,,,,
263.5,ЭКОНОМИЧЕСКАЯ ГЕОГРАФИЯ И РЕГИОНАЛИСТИКА,Вавилова Е.В.,,,,,,,,
369,"ЭКОНОМИЧЕСКАЯ ГЕОГРАФИЯ И РЕГИОНАЛИСТИКА (ИСТОРИЯ, МЕТОДЫ, СОСТОЯНИЕ И ПЕРСПЕКТИВЫ РАЗМЕЩЕНИЯ ПРОИЗВОДИТЕЛЬНЫХ СИЛ) УЧЕБНОЕ ПОСО 2-е изд., испр. и доп. Учебное пособие для бакалавров","Козьева И.А., Кузьбожев Э.Н.","Учебное пособие разработано в соответствии с современными тенденциями развития экономической географии и регионалистики, ориентировано на формирование системного пространственного мышления специалистов. В издании изложены теории и методы размещения производительных сил, географические основы экономического развития России, проблемы исследования и регулирования развития страны и регионов. Содержание пособия раскрывает Федеральный государственный образовательный стандарт высшего профессионального образования третьего поколения соответствующей учебной дисциплины.",,,,,,,
269,ЭКОНОМИЧЕСКАЯ ГЕОГРАФИЯ И РЕГИОНАЛИСТИКА. Учебное пособие для вузов,"Козьева И.А., Кузьбожев Э.Н., Световцева М.Г.","Учебное пособие разработано в соответствии с современными тенденциями развития экономической географии и регионалистики, ориентировано на формирование системного пространственного мышления специалистов. В пособии изложены теории и методы размещения производительных сил, географические основы экономического развития России, проблемы исследования и регулирования развития страны и регионов. Содержание пособия полностью раскрывает стандарт соответствующей учебной дисциплины. Для студентов, обучающихся по специальностям 080111(061500) «Маркетинг».",,,,,,,
258.7,"ЭКОНОМИЧЕСКАЯ ГЕОГРАФИЯ И РЕГИОНАЛИСТИКА: УЧЕБНОЕ ПОСОБИЕ, 5-Е ИЗД., ДОП. И ПЕРЕРАБ.",В.П.Желтиков,,,,,,,,
449,ЭКОНОМИЧЕСКАЯ И СОЦИАЛЬНАЯ ГЕОГРАФИЯ МИРА. Учебник для бакалавров,Родионова И.А.,"Изложены материалы по экономической, социальной и политической географии мира. Подробно рассмотрены проблемы природно-ресурсного потенциала планеты, охарактеризованы демографическая ситуация в разных регионах мира и особенности расселения народов мира. Дано комплексное представление о международном разделении труда, динамике развития и географии всех отраслей мирового хозяйства. Страноведческая характеристика содержит экономико-географический анализ природно-ресурсного потенциала, населения и хозяйства отдельных стран .",,,,,,,
145.4,"ЭКОНОМИЧЕСКАЯ И СОЦИАЛЬНАЯ ПОЛИТИКА (СОЦИАЛЬНЫЙ БЛОК): НАПРАВЛЕНИЕ 080100.68 - ""ЭКОНОМИКА"": МАГИСТЕРСКАЯ ПРОГРАММА","Аверин А.Н., Веселкова И.Н.",Программа предназначена для студентов и включает в себя теоретико-методологические и практические вопросы современной экономической и социальной политики .,,,,,,,
309,"ЭКОНОМИЧЕСКАЯ ИСТОРИЯ 12-е изд., пер. и доп. Учебник для бакалавров","Конотопов М.В., Сметанин С.И., Тебекин А.В.","Рассмотрен весь процесс экономического развития человечества. Особое внимание уделено тем периодам и регионам, изменения в которых носили принципиальный характер для мировой экономики. Изложена подробно экономика России, а также бывшего Советского Союза с использованием современных статистических данных. Обобщен опыт мировой экономики с учетом результатов исследований авторов. Для студентов экономических специальностей вузов.",,,,,,,
319,"ЭКОНОМИЧЕСКАЯ ИСТОРИЯ 2-е изд., пер. и доп. Учебник для бакалавров","Квасов А.С., Кузнецова О.Д., Пермякова Л.И., Шапкин И.Н.","Учебник содержит необходимый набор знаний об опыте хозяйственной деятельности на разных этапах общественного развития, раскрывает его основные особенности. Особое внимание уделяется сущностным экономическим процессам и особенностям их проявления в различных странах на важнейших этапах хозяйственного развития. В данном издании удачно сочетаются исторические факты и экономический анализ процессов развития экономики. После каждой главы приведены выводы по теме, а также вопросы и задания для самоконтроля.",,,,,,,
419,ЭКОНОМИЧЕСКАЯ ИСТОРИЯ. Учебник для бакалавров,Гусейнов Р.М.,"Рассмотрены наиболее важные этапы истории экономики. В основе авторской концепции — исторические сравнения самобытного развития экономики стран Запада, Востока и России в контексте преимущественно цивилизационного подхода. Соответствует требованиям Федерального государственного образовательного стандарта высшего профессионального образования третьего поколения. Для студентов, магистрантов и аспирантов, а также для всех интересующихся историей и экономической теорией.",,,,,,,
319,ЭКОНОМИЧЕСКАЯ ИСТОРИЯ. Учебник для вузов,"Квасов А.С., Кузнецова О.Д., Пермякова Л.И., Шапки","Учебник отличается простотой изложения материала, беспристрастностью и глубиной анализа сложных проблем. В данном издании удачно сочетаются исторические факты и экономический анализ процессов развития экономики. Особое внимание уделяется сущностным экономическим процессам и особенностям их проявления в различных странах.",,,,,,,
300,"ЭКОНОМИЧЕСКАЯ ОЦЕНКА ИНВЕСТИЦИЙ: УЧЕБНИК ДЛЯ ВУЗОВ. 4-Е ИЗД., ПЕРЕРАБОТАННОЕ И ДОПОЛНЕННОЕ (+CD С УЧЕБНЫМИ МАТЕРИАЛАМИ)",Ример М И,,,,,,,,
